Date,SCHG,SPMO,AVUV,SPHQ,IDMO,AVDV,FRDM,DBMF,PDBC,BIL,IEF,TLT,GLD,SPY
2019-09-26,10.189889907836914,37.72307205200195,44.864845275878906,30.455339431762695,21.918548583984375,40.29523849487305,21.82269287109375,18.120025634765625,7.908013343811035,76.0393295288086,94.42735290527344,115.60193634033203,141.7899932861328,268.7293701171875
2019-09-27,10.072722434997559,37.32573699951172,44.67896270751953,30.291648864746094,21.8604793548584,40.131980895996094,21.655479431152344,18.09901237487793,7.893027305603027,76.0393295288086,94.56195831298828,115.88606262207031,141.05999755859375,267.2817077636719
2019-09-30,10.147616386413574,37.59248352050781,44.78352355957031,30.50080680847168,21.885364532470703,40.051570892333984,21.8064022064209,18.192272186279297,7.80310583114624,76.04766082763672,94.6376724243164,116.17025756835938,138.8699951171875,268.5213623046875
2019-10-01,10.05581283569336,37.21553039550781,43.84693145751953,30.155237197875977,21.694557189941406,39.89725112915039,21.687210083007812,18.184391021728516,7.793116092681885,76.04515075683594,94.89978790283203,116.51998138427734,139.6300048828125,265.3273010253906
2019-10-02,9.896368026733398,36.61166000366211,43.216896057128906,29.564138412475586,21.28803825378418,39.2921257019043,21.387937545776367,18.210660934448242,7.733168125152588,76.04515075683594,95.22846984863281,116.80464172363281,141.25999450683594,260.640380859375
2019-10-03,9.997832298278809,36.92378234863281,43.19007110595703,29.86423683166504,21.470552444458008,39.37171936035156,21.61431884765625,18.31705665588379,7.733168125152588,76.07015228271484,95.7256851196289,117.87013244628906,141.89999389648438,262.7757263183594
2019-10-04,10.139159202575684,37.52210235595703,43.535926818847656,30.30983543395996,21.702848434448242,39.604835510253906,21.83212661743164,18.385358810424805,7.7781291007995605,76.07015228271484,95.91108703613281,118.74044799804688,141.89999389648438,266.3316955566406
2019-10-07,10.10654354095459,37.35074234008789,43.48678207397461,30.18252944946289,21.74432945251465,39.50331115722656,21.69063949584961,18.30063819885254,7.7781291007995605,76.07846069335938,95.59085845947266,117.75629425048828,140.69000244140625,265.1825256347656
2019-10-08,9.955556869506836,36.8330192565918,42.69230651855469,29.6641788482666,21.536922454833984,39.17435836791992,21.656335830688477,18.29341697692871,7.7681379318237305,76.07846069335938,95.7930908203125,118.07349395751953,141.9199981689453,261.0657653808594
2019-10-09,10.070307731628418,37.233123779296875,43.066749572753906,29.98245620727539,21.71114730834961,39.3156852722168,21.766958236694336,18.252038955688477,7.798111915588379,76.07846069335938,95.54874420166016,117.40653991699219,142.0500030517578,263.5448303222656
2019-10-10,10.127077102661133,37.30720901489258,43.20884704589844,30.146148681640625,21.76091957092285,39.81277084350586,21.98819351196289,18.081279754638672,7.848067760467529,76.09510040283203,94.95037841796875,115.6578598022461,140.80999755859375,265.3273010253906
2019-10-11,10.221297264099121,37.39057159423828,44.157039642333984,30.509899139404297,21.90195655822754,40.56328201293945,22.428951263427734,17.974882125854492,7.937987327575684,76.10340881347656,94.30145263671875,114.2263412475586,140.02999877929688,268.0779724121094
2019-10-14,10.216462135314941,37.2933235168457,43.91843795776367,30.50080680847168,21.77751922607422,40.514549255371094,22.344913482666016,18.05763816833496,7.888031482696533,76.09510040283203,94.56275177001953,115.05595397949219,140.58999633789062,267.7793884277344
2019-10-15,10.333630561828613,37.35074234008789,44.365272521972656,30.70996856689453,21.93514060974121,41.07905578613281,22.46668243408203,17.976198196411133,7.868049621582031,76.10340881347656,94.10762023925781,113.66513061523438,139.61000061035156,270.4305114746094
2019-10-16,10.307058334350586,37.317405700683594,44.505584716796875,30.637224197387695,21.926843643188477,41.10748291015625,22.568729400634766,17.94270133972168,7.878040313720703,76.1116714477539,94.29306030273438,113.80342102050781,140.41000366210938,269.99615478515625
2019-10-17,10.33967113494873,37.389644622802734,44.91310501098633,30.71905517578125,21.960033416748047,41.24881362915039,22.665624618530273,17.87177276611328,7.913009166717529,76.1200180053711,94.25930786132812,113.52688598632812,140.61000061035156,270.79241943359375
2019-10-18,10.26115608215332,37.3470573425293,44.78888702392578,30.49171257019043,21.926843643188477,41.3552131652832,22.558435440063477,17.814634323120117,7.913009166717529,76.1200180053711,94.34361267089844,113.52688598632812,140.4600067138672,269.6070861816406
2019-10-21,10.310681343078613,37.426692962646484,45.21784973144531,30.746334075927734,21.90195655822754,41.615135192871094,22.613313674926758,17.765377044677734,7.908013343811035,76.1283187866211,93.99809265136719,112.67289733886719,139.7899932861328,271.4348449707031
2019-10-22,10.220087051391602,36.9636116027832,45.502052307128906,30.628129959106445,21.835588455200195,41.48436737060547,22.686201095581055,17.81332015991211,7.908013343811035,76.1283187866211,94.21717834472656,113.3316421508789,140.1999969482422,270.548095703125
2019-10-23,10.257532119750977,36.97657775878906,45.75763702392578,30.60083770751953,21.8604793548584,41.78164291381836,22.615888595581055,17.838281631469727,7.997933864593506,76.1283187866211,94.25089263916016,113.44557189941406,140.52999877929688,271.3353576660156
2019-10-24,10.338460922241211,37.2683219909668,45.621795654296875,30.84636878967285,22.00151252746582,41.85555648803711,22.712785720825195,17.892131805419922,8.042895317077637,76.14493560791016,94.23407745361328,113.21780395507812,141.52999877929688,271.77862548828125
2019-10-25,10.383153915405273,37.16737747192383,46.15264892578125,31.046443939208984,22.026397705078125,41.9278450012207,22.69392204284668,17.878337860107422,8.08285903930664,76.14493560791016,94.03179931640625,112.66473388671875,141.86000061035156,272.89154052734375
2019-10-28,10.461670875549316,37.217384338378906,46.52532196044922,31.255605697631836,22.059589385986328,42.114662170410156,22.889434814453125,17.788362503051758,8.052886009216309,76.13663482666016,93.67784881591797,111.63992309570312,140.63999938964844,274.4297790527344
2019-10-29,10.429054260253906,37.313690185546875,46.71656036376953,31.219223022460938,22.059589385986328,42.121971130371094,22.818260192871094,17.788362503051758,8.047889709472656,76.15322875976562,93.76213073730469,111.71315002441406,140.25,274.3483581542969
2019-10-30,10.488242149353027,37.58415985107422,46.2017936706543,31.364723205566406,22.21721649169922,42.08461380004883,22.761667251586914,17.877685546875,7.987943649291992,76.16157531738281,94.21717834472656,113.3479232788086,141.02000427246094,275.1898498535156
2019-10-31,10.471329689025879,37.49152755737305,45.735286712646484,31.246505737304688,22.233808517456055,41.98551559448242,22.65962028503418,17.98670768737793,7.942982196807861,76.16986846923828,94.81554412841797,114.87702178955078,142.42999267578125,274.45684814453125
2019-11-01,10.558300018310547,37.41094207763672,46.61557388305664,31.473859786987305,22.341655731201172,42.43468475341797,22.818260192871094,17.952552795410156,8.08285903930664,76.16909790039062,94.63661193847656,114.52345275878906,142.55999755859375,276.9994201660156
